PERSON_ID,FIRST_NAME,LAST_NAME,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,TEAM_ID,DLEAGUE_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
1630208,Nick,Richards,1997-11-29,Kentucky,Jamaica,7-0,245,5,2,Center,1610612756,Y,2020,2,42,N
1630214,Xavier,Tillman,1999-01-12,Michigan State,USA,6-7,245,5,26,Forward,1610612738,Y,2020,2,35,N
1630215,Jared,Butler,2000-08-25,Baylor,USA,6-3,193,4,12,Guard,1610612755,Y,2021,2,40,N
1642505,Alex,Ducas,2000-12-11,St.Mary's College of California,Australia,6-7,220,1,88,Guard,1610612760,Y,Undrafted,Undrafted,Undrafted,N
1630217,Desmond,Bane,1998-06-25,TCU,USA,6-5,215,5,3,Guard,1610612753,N,2020,1,30,N
1630222,Mason,Jones,1998-07-21,Arkansas,USA,6-4,200,4,15,Guard,1610612758,Y,Undrafted,Undrafted,Undrafted,N
1630224,Jalen,Green,2002-02-09,NBA G League Ignite,USA,6-4,186,4,4,Guard,1610612745,Y,2021,1,2,N
1630228,Jonathan,Kuminga,2002-10-06,NBA G League Ignite,DRC,6-7,225,4,00,Forward,1610612744,Y,2021,1,7,N
1630230,Naji,Marshall,1998-01-24,Xavier,USA,6-6,220,5,13,Forward,1610612742,Y,Undrafted,Undrafted,Undrafted,N
1630231,KJ,Martin,2001-01-06,IMG Academy (FL),USA,6-6,215,5,99,Forward,1610612762,Y,2020,2,52,N
1626145,Tyus,Jones,1996-05-10,Duke,USA,6-1,196,10,21,Guard,1610612756,Y,2015,1,24,N
1642530,Yuki,Kawamura,2001-05-02,,Japan,5-8,159,1,17,Guard,1610612763,Y,Undrafted,Undrafted,Undrafted,N
1630243,Trevelin,Queen,1997-02-25,New Mexico State,USA,6-5,190,4,12,Guard,1610612753,Y,Undrafted,Undrafted,Undrafted,N
1630241,Sam,Merrill,1996-05-15,Utah State,USA,6-4,205,5,5,Guard,1610612739,Y,2020,2,60,N
1630245,Ayo,Dosunmu,2000-01-17,Illinois,USA,6-5,200,4,11,Guard,1610612741,N,2021,2,38,N
1626153,Delon,Wright,1992-04-26,Utah,USA,6-5,185,10,0,Guard,1610612752,Y,2015,1,20,N
1630249,Vít,Krejčí,2000-06-19,Zaragoza,Czech Republic,6-8,195,4,27,Guard,1610612737,Y,2020,2,37,N
1626156,D'Angelo,Russell,1996-02-23,Ohio State,USA,6-3,193,10,1,Guard,1610612751,N,2015,1,2,N
1626157,Karl-Anthony,Towns,1995-11-15,Kentucky,USA,7-0,248,10,32,Center-Forward,1610612752,N,2015,1,1,N
1626158,Richaun,Holmes,1993-10-15,Bowling Green,USA,6-9,235,10,22,Forward,1610612764,Y,2015,2,37,N
1630256,Jae'Sean,Tate,1995-10-28,Ohio State,USA,6-4,230,5,8,Forward,1610612745,N,Undrafted,Undrafted,Undrafted,N
1626162,Kelly,Oubre Jr.,1995-12-09,Kansas,USA,6-8,203,10,9,Forward-Guard,1610612755,N,2015,1,15,N
1626164,Devin,Booker,1996-10-30,Kentucky,USA,6-6,206,10,1,Guard,1610612756,N,2015,1,13,N
1626166,Cameron,Payne,1994-08-08,Murray State,USA,6-3,183,10,1,Guard,1610612752,Y,2015,1,14,N
