GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0022401196,1610612760,OKC,Oklahoma City,1641794,Dillon Jones,Dillon,F,,36.000000:08,110.1,113.0,96.4,98.7,13.6,14.3,0.036,0.33,8.3,0.023,0.231,0.122,25.0,0.786,0.825,0.12,0.122,104.84,102.29,85.24,77,0.107
0022401196,1610612760,OKC,Oklahoma City,1629026,Kenrich Williams,Kenrich,F,,37.000000:06,108.4,108.9,98.0,105.1,10.4,3.8,0.083,0.67,8.3,0.043,0.222,0.13,12.5,0.444,0.43,0.232,0.236,106.12,102.21,85.18,79,0.119
0022401196,1610612760,OKC,Oklahoma City,1631119,Jaylin Williams,Jaylin,C,,2.000000:16,157.1,157.1,33.3,33.3,123.8,123.8,0.0,0.0,0.0,0.0,0.667,0.333,0.0,0.0,0.0,0.125,0.125,137.65,137.65,114.71,7,0.067
0022401196,1610612760,OKC,Oklahoma City,1630198,Isaiah Joe,Isaiah,G,,34.000000:48,113.0,117.8,93.9,98.7,19.1,19.1,0.04,0.0,5.6,0.075,0.07,0.072,0.0,0.4,0.494,0.195,0.195,106.82,102.05,85.04,73,0.097
0022401196,1610612760,OKC,Oklahoma City,1630598,Aaron Wiggins,Aaron,G,,36.000000:30,118.3,124.3,88.0,92.2,30.2,32.1,0.28,7.0,22.6,0.043,0.109,0.075,3.2,0.5,0.625,0.258,0.259,104.21,99.29,82.74,74,0.226
0022401196,1610612760,OKC,Oklahoma City,1642382,Branden Carlson,Branden,,,38.000000:33,108.5,111.4,96.4,100.0,12.1,11.4,0.095,1.0,8.0,0.13,0.085,0.108,8.0,0.579,0.626,0.24,0.242,102.18,98.99,82.49,79,0.176
0022401196,1610612760,OKC,Oklahoma City,1641745,Adam Flagler,Adam,,,21.000000:55,104.6,104.3,92.4,95.7,12.2,8.6,0.0,0.0,0.0,0.0,0.04,0.019,0.0,0.143,0.143,0.127,0.132,103.39,101.81,84.84,47,-0.056
0022401196,1610612760,OKC,Oklahoma City,1642505,Alex Ducas,Alex,,,14.000000:53,111.8,110.0,94.0,96.7,17.8,13.3,0.1,0.0,20.0,0.105,0.188,0.143,0.0,0.5,0.644,0.108,0.113,97.35,96.77,80.65,30,0.081
0022401196,1610612760,OKC,Oklahoma City,1642349,Ajay Mitchell,Ajay,,,17.000000:50,114.4,116.2,101.0,110.8,13.4,5.4,0.2,2.0,15.4,0.043,0.0,0.023,7.7,0.35,0.35,0.244,0.247,105.2,99.55,82.96,37,-0.031
0022401196,1610612760,OKC,Oklahoma City,1627936,Alex Caruso,Alex,,DND - Injury/Illness,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
