PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
1630208,Nick,Richards,Nick Richards,"Richards, Nick",N. Richards,nick-richards,1997-11-29T00:00:00,Kentucky,Jamaica,Kentucky/Jamaica,7-0,245,5,2,Center,Active,N,1610612756,Suns,PHX,suns,Phoenix,nick_richards,2020,2025,Y,Y,Y,2020,2,42,N
1630214,Xavier,Tillman,Xavier Tillman,"Tillman, Xavier",X. Tillman,xavier-tillman,1999-01-12T00:00:00,Michigan State,USA,Michigan State/USA,6-7,245,5,26,Forward,Active,N,1610612738,Celtics,BOS,celtics,Boston,xavier_tillman,2020,2025,Y,Y,Y,2020,2,35,N
1630215,Jared,Butler,Jared Butler,"Butler, Jared",J. Butler,jared-butler,2000-08-25T00:00:00,Baylor,USA,Baylor/USA,6-3,193,4,12,Guard,Active,N,1610612755,76ers,PHI,sixers,Philadelphia,jared_butler,2021,2025,Y,Y,Y,2021,2,40,N
1642502,Malevy,Leons,Malevy Leons,"Leons, Malevy",M. Leons,malevy-leons,1999-09-23T00:00:00,Bradley,Netherlands,Bradley/Netherlands,6-9,210,0,,Forward,Inactive,Y,0,,,,,malevy_leons,2024,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1642505,Alex,Ducas,Alex Ducas,"Ducas, Alex",A. Ducas,alex-ducas,2000-12-11T00:00:00,St.Mary's College of California,Australia,St.Mary's College of California/Australia,6-7,220,1,88,Guard,Active,N,1610612760,Thunder,OKC,thunder,Oklahoma City,alex_ducas,2024,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630217,Desmond,Bane,Desmond Bane,"Bane, Desmond",D. Bane,desmond-bane,1998-06-25T00:00:00,TCU,USA,TCU/USA,6-5,215,5,3,Guard,Active,N,1610612753,Magic,ORL,magic,Orlando,desmond_bane,2020,2025,N,Y,Y,2020,1,30,N
1630222,Mason,Jones,Mason Jones,"Jones, Mason",M. Jones,mason-jones,1998-07-21T00:00:00,Arkansas,USA,Arkansas/USA,6-4,200,4,15,Guard,Active,N,1610612758,Kings,SAC,kings,Sacramento,mason_jones,2020,2025,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630224,Jalen,Green,Jalen Green,"Green, Jalen",J. Green,jalen-green,2002-02-09T00:00:00,NBA G League Ignite,USA,NBA G League Ignite/USA,6-4,186,4,4,Guard,Active,N,1610612745,Rockets,HOU,rockets,Houston,jalen_green,2021,2025,Y,Y,Y,2021,1,2,N
1630227,Daishen,Nix,Daishen Nix,"Nix, Daishen",D. Nix,daishen-nix,2002-02-13T00:00:00,NBA G League Ignite,USA,NBA G League Ignite/USA,6-4,238,3,,Guard,Inactive,Y,0,,,,,daishen_nix,2021,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
1630228,Jonathan,Kuminga,Jonathan Kuminga,"Kuminga, Jonathan",J. Kuminga,jonathan-kuminga,2002-10-06T00:00:00,NBA G League Ignite,DRC,NBA G League Ignite/DRC,6-7,225,4,00,Forward,Active,N,1610612744,Warriors,GSW,warriors,Golden State,jonathan_kuminga,2021,2025,Y,Y,Y,2021,1,7,N
