gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,GAME_ID
42400156,1610612745,Houston,Rockets,HOU,rockets,1641708,Amen,Thompson,A. Thompson,amen-thompson,F,,1.0,35:32,14,2,0,2,3,0,0,0,0,0,0,0,1,1,0,1,42400156
42400156,1610612745,Houston,Rockets,HOU,rockets,1628415,Dillon,Brooks,D. Brooks,dillon-brooks,F,,9.0,18:33,3,4,1,3,1,0,0,0,1,0,1,0,2,2,0,2,42400156
42400156,1610612745,Houston,Rockets,HOU,rockets,1630578,Alperen,Sengun,A. Sengun,alperen-sengun,C,,28.0,37:06,21,8,4,4,4,0,1,3,0,0,0,2,1,3,3,3,42400156
42400156,1610612745,Houston,Rockets,HOU,rockets,1630224,Jalen,Green,J. Green,jalen-green,G,,4.0,32:03,12,6,2,4,0,0,0,0,0,0,0,0,1,1,1,1,42400156
42400156,1610612745,Houston,Rockets,HOU,rockets,1627832,Fred,VanVleet,F. VanVleet,fred-vanvleet,G,,5.0,39:53,29,3,0,3,1,0,0,0,1,1,2,0,2,2,0,2,42400156
42400156,1610612745,Houston,Rockets,HOU,rockets,203500,Steven,Adams,S. Adams,steven-adams,,,12.0,31:03,17,12,7,5,2,0,2,5,0,0,0,3,6,9,3,9,42400156
42400156,1610612745,Houston,Rockets,HOU,rockets,1631106,Tari,Eason,T. Eason,tari-eason,,,17.0,16:06,8,1,1,0,4,0,0,0,0,1,1,0,1,1,0,1,42400156
42400156,1610612745,Houston,Rockets,HOU,rockets,1631095,Jabari,Smith Jr.,J. Smith Jr.,jabari-smith-jr,,,10.0,18:38,8,4,1,3,1,0,0,0,0,0,0,0,3,3,1,3,42400156
42400156,1610612745,Houston,Rockets,HOU,rockets,1641715,Cam,Whitmore,C. Whitmore,cam-whitmore,,,7.0,1:32,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,42400156
42400156,1610612745,Houston,Rockets,HOU,rockets,201145,Jeff,Green,J. Green,jeff-green,,,32.0,1:32,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,42400156
42400156,1610612744,Golden State,Warriors,GSW,warriors,1627780,Gary,Payton II,G. Payton II,gary-payton-ii,F,,0.0,19:46,5,1,0,1,2,0,2,5,1,0,1,0,0,0,0,0,42400156
42400156,1610612744,Golden State,Warriors,GSW,warriors,202710,Jimmy,Butler III,J. Butler III,jimmy-butler-iii,F,,10.0,42:07,27,6,3,3,2,0,0,0,0,0,0,2,3,5,3,5,42400156
42400156,1610612744,Golden State,Warriors,GSW,warriors,203110,Draymond,Green,D. Green,draymond-green,C,,23.0,36:57,8,16,12,4,3,0,1,3,0,0,0,0,4,4,1,4,42400156
42400156,1610612744,Golden State,Warriors,GSW,warriors,1627741,Buddy,Hield,B. Hield,buddy-hield,G,,7.0,16:32,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,42400156
