gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts,GAME_ID
22400634,1610612743,Denver,Nuggets,DEN,nuggets,1631128,Christian,Braun,C. Braun,christian-braun,F,,0.0,26:11,10,3,2,1,0,0,1,3,0,0,0,0,0,0,0,0,22400634
22400634,1610612743,Denver,Nuggets,DEN,nuggets,1629008,Michael,Porter Jr.,M. Porter Jr.,michael-porter-jr,F,,1.0,30:30,11,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,22400634
22400634,1610612743,Denver,Nuggets,DEN,nuggets,203999,Nikola,Jokić,N. Jokić,nikola-jokić,C,,15.0,32:24,20,5,2,3,3,0,7,19,0,0,0,0,0,0,0,0,22400634
22400634,1610612743,Denver,Nuggets,DEN,nuggets,201566,Russell,Westbrook,R. Westbrook,russell-westbrook,G,,4.0,27:41,13,1,0,1,4,0,0,0,1,0,1,0,0,0,0,0,22400634
22400634,1610612743,Denver,Nuggets,DEN,nuggets,1627750,Jamal,Murray,J. Murray,jamal-murray,G,,27.0,34:32,25,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,22400634
22400634,1610612743,Denver,Nuggets,DEN,nuggets,203932,Aaron,Gordon,A. Gordon,aaron-gordon,,,32.0,24:38,13,4,3,1,1,0,3,7,0,0,0,0,0,0,0,0,22400634
22400634,1610612743,Denver,Nuggets,DEN,nuggets,1631212,Peyton,Watson,P. Watson,peyton-watson,,,8.0,18:27,2,5,4,1,2,0,1,2,1,0,1,0,0,0,0,0,22400634
22400634,1610612743,Denver,Nuggets,DEN,nuggets,1631124,Julian,Strawther,J. Strawther,julian-strawther,,,3.0,18:16,2,2,0,2,3,0,0,0,0,0,0,0,1,1,0,1,22400634
22400634,1610612743,Denver,Nuggets,DEN,nuggets,201599,DeAndre,Jordan,D. Jordan,deandre-jordan,,,6.0,5:49,4,1,1,0,0,0,0,0,1,0,1,3,1,4,4,4,22400634
22400634,1610612743,Denver,Nuggets,DEN,nuggets,1641790,PJ,Hall,P. Hall,pj-hall,,,13.0,5:23,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22400634
